dataset_id,access_type,base_url,endpoint_or_path,source_urls,auth_method,api_key_env,auth_header_template,api_key_scope,expected_format,refresh_hint,download_url
ds_001,file,https://ckan.hokonavi.go.jp,/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/d132ec71-749e-4b38-85d2-c2f2a78da29c/download/link.csv,https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/d132ec71-749e-4b38-85d2-c2f2a78da29c/download/link.csv|https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/16c453cb-21c0-4e38-8975-0a35803b7edc/download/link.geojson|https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/18dc2190-3c9b-40e6-8fe0-ec0d386a017d/download/node.csv|https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/80140abb-8e4b-4083-b6e6-c96e28221bec/download/node.geojson,none,,,,CSV、GeoJSON,static: daily/weekly,https://ckan.hokonavi.go.jp/dataset/2df4cb39-8b2e-4692-97ea-3f6b4132c109/resource/d132ec71-749e-4b38-85d2-c2f2a78da29c/download/link.csv
ds_002,file,https://ckan.hokonavi.go.jp,/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/e60c148a-cc2b-442f-854e-3ab8a600fefa/download/link.csv,https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/e60c148a-cc2b-442f-854e-3ab8a600fefa/download/link.csv|https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/00e59f21-4074-4d50-8616-93235fbb9464/download/link.geojson|https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/9f2a7b81-7d52-4451-bf5c-9f668d0c62c8/download/node.csv|https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/58536efe-b272-4aa7-a303-2993826ede60/download/node.geojson,none,,,,CSV、GeoJSON,static: daily/weekly,https://ckan.hokonavi.go.jp/dataset/8ef1f4a8-1848-4491-9a87-ac13b706307c/resource/e60c148a-cc2b-442f-854e-3ab8a600fefa/download/link.csv
ds_003,file,https://ckan.hokonavi.go.jp,/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/1e3e2759-0020-4674-9394-b3c3a8ba3372/download/link.csv,https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/1e3e2759-0020-4674-9394-b3c3a8ba3372/download/link.csv|https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/1ced54f1-ebba-4b91-a6cf-f80a965719ad/download/link.geojson|https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/a57d319c-fb9a-4957-a4d3-373c145642c9/download/node.csv|https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/727a6bcd-0716-4d9b-8f4b-bb7ca71ae691/download/node.geojson,none,,,,CSV、GeoJSON,static: daily/weekly,https://ckan.hokonavi.go.jp/dataset/dee0869a-c58f-445e-9a8c-4d3fc31be344/resource/1e3e2759-0020-4674-9394-b3c3a8ba3372/download/link.csv
ds_004,file,https://api-public.odpt.org,/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_shapefile.zip,https://api-public.odpt.org/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_shapefile.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_geojson.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_csv.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/stationmap_oedo_ueno-okachimachi_geojson.zip|https://api-public.odpt.org/api/v4/files/hokonavi/data/stationmap_oedo_ueno-okachimachi_shapefile.zip,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,CSV、GeoJSON、PDF、Shapefile,static: daily/weekly,https://api-public.odpt.org/api/v4/files/hokonavi/data/nwd_oedo_ueno-okachimachi_shapefile.zip
ds_005,api,https://api-public.odpt.org,/api/v4/gtfs/realtime/toei_odpt_train_vehicle,https://api-public.odpt.org/api/v4/gtfs/realtime/toei_odpt_train_vehicle|https://api-public.odpt.org/api/v4/gtfs/realtime/toei_odpt_train_trip_update|https://api-public.odpt.org/api/v4/gtfs/realtime/toei_odpt_train_alert|https://api-public.odpt.org/api/v4/gtfs/realtime/ToeiBus|https://api-public.odpt.org/api/v4/files/Toei/data/Toei-Train-GTFS.zip,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,Protocol Buffers,realtime: 2-5 min,https://api-public.odpt.org/api/v4/gtfs/realtime/toei_odpt_train_vehicle
ds_006,api,https://api-public.odpt.org,/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:Toei,https://api-public.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:RailwayFare?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:TrainTimetable?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusroutePattern?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:Train?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusTimetable?odpt:operator=odpt.Operator:Toei,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api-public.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:Toei
ds_007,api,https://api-public.odpt.org,/api/v4/odpt:Railway?odpt:operator=odpt.Operator:Toei,https://api-public.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:Station?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:StationTimetable?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:Toei|https://api-public.odpt.org/api/v4/odpt:BusroutePatternFare?odpt:operator=odpt.Operator:Toei,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api-public.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:Toei
ds_008,file,https://api-public.odpt.org,/api/v4/files/Toei/data/ToeiBus-GTFS.zip,https://api-public.odpt.org/api/v4/files/Toei/data/ToeiBus-GTFS.zip|https://api-public.odpt.org/api/v4/odpt:Bus?odpt:operator=odpt.Operator:Toei,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS-JP,static: daily/weekly,https://api-public.odpt.org/api/v4/files/Toei/data/ToeiBus-GTFS.zip
ds_009,api,https://api.odpt.org,/api/v4/gtfs/realtime/tokyometro_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/gtfs/realtime/tokyometro_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/files/TokyoMetro/data/TokyoMetro-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,Protocol Buffers,realtime: 2-5 min,https://api.odpt.org/api/v4/gtfs/realtime/tokyometro_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_010,api,https://api.odpt.org,/api/v4/odpt:RailwayFare?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/odpt:RailwayFare?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:Station?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:StationTimetable?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:TrainInformation?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:TrainTimetable?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]|https://api.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api.odpt.org/api/v4/odpt:RailwayFare?odpt:operator=odpt.Operator:TokyoMetro&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_011,api,https://api-challenge.odpt.org,/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:Railway?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:StationTimetable?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:TrainTimetable?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]|https://api-challenge.odpt.org/api/v4/odpt:Station?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api-challenge.odpt.org/api/v4/odpt:Train?odpt:operator=odpt.Operator:JR-East&acl:consumerKey=[Access_Token_for_Challenge2025]
ds_012,file,https://api-challenge.odpt.org,/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api-challenge.odpt.org/api/v4/files/JR-East/data/JR-East-Train-GTFS.zip?acl:consumerKey=[Access_Token_for_Challenge2025]
ds_013,file,https://api.odpt.org,/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/odpt/TokyoCruiseShip/AllLines.zip?date=20250402&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN]
ds_014,file,https://api.odpt.org,/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/MIR/data/MIR-Train-GTFS.zip?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_015,api,https://api.odpt.org,/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api.odpt.org/api/v4/odpt:PassengerSurvey?odpt:operator=odpt.Operator:MIR&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_016,api,https://api.odpt.org,/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,Protocol Buffers,realtime: 2-5 min,https://api.odpt.org/api/v4/gtfs/realtime/mir_odpt_train_alert?acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_017,file,https://api.odpt.org,/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/odpt/HitachiAutomobileTransportation/Chiyoda_ALLLINES.zip?date=20250601&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN]
ds_018,file,https://api.odpt.org,/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GTFS/GTFS-JP,static: daily/weekly,https://api.odpt.org/api/v4/files/odpt/TokyoTaitoCity/megurinCCBY40.zip?date=20251028&acl:consumerKey=[アクセストークン/YOUR_ACCESS_TOKEN]
ds_019,api,https://api-challenge.odpt.org,/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025],https://api-challenge.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,	JSON,static: daily/weekly,https://api-challenge.odpt.org/api/v4/odpt:BusstopPole?odpt:operator=odpt.Operator:TobuBus&acl:consumerKey=[Access_Token_for_Challenge2025]
ds_020,api,https://api.odpt.org,/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],https://api.odpt.org/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN],Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,JSON,static: daily/weekly,https://api.odpt.org/api/v4/odpt:BusstopPoleTimetable?odpt:operator=odpt.Operator:TokyuBus&acl:consumerKey=[発行されたアクセストークン/YOUR_ACCESS_TOKEN]
ds_021,api,https://api-public.odpt.org,/api/v4/gbfs/hellocycling/gbfs.json,https://api-public.odpt.org/api/v4/gbfs/hellocycling/gbfs.json,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GBFS,static: daily/weekly,https://api-public.odpt.org/api/v4/gbfs/hellocycling/gbfs.json
ds_022,api,https://api-public.odpt.org,/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json,https://api-public.odpt.org/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json,Bearer,ODPT_API_KEY,Authorization: Bearer ${ODPT_API_KEY},COMPETITION_LIMITED,GBFS,static: daily/weekly,https://api-public.odpt.org/api/v4/gbfs/docomo-cycle-tokyo/gbfs.json
ds_023,,,,,none,,,,XML、CVS,static: daily/weekly,nan/nan
ds_024,,,,,none,,,,PDF、ZIP,static: daily/weekly,nan/nan
ds_025,file,https://www.opendata.metro.tokyo.lg.jp,/soumu/130001_evacuation_center.csv,https://www.opendata.metro.tokyo.lg.jp/soumu/130001_evacuation_center.csv,none,,,,CVS、PDF,static: daily/weekly,https://www.opendata.metro.tokyo.lg.jp/soumu/130001_evacuation_center.csv
ds_026,,,,,none,,,,,static: daily/weekly,nan/nan
ds_027,,,,,none,,,,,static: daily/weekly,nan/nan
ds_028,,,,,none,,,,獲取方式 (Method),static: daily/weekly,nan/nan
ds_029,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_030,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_031,,,,,none,,,,API (odpt:StationFacility),static: daily/weekly,nan/nan
ds_032,,,,,none,,,,爬蟲 / Deep Link,static: daily/weekly,nan/nan
ds_033,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_034,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_035,,,,,none,,,,API (Overpass API),static: daily/weekly,nan/nan
ds_036,,,,,none,,,,CSV / API,static: daily/weekly,nan/nan
ds_037,,,,,none,,,,PDF / HTML,static: daily/weekly,nan/nan
ds_038,,,,,none,,,,Web 爬蟲,static: daily/weekly,nan/nan
ds_039,,,,,none,,,,,static: daily/weekly,nan/nan
ds_040,,,,,none,,,,,static: daily/weekly,nan/nan
ds_041,,,,,none,,,,,static: daily/weekly,nan/nan
ds_042,,,,,none,,,,,static: daily/weekly,nan/nan
ds_043,,,,,none,,,,,static: daily/weekly,nan/nan
ds_044,,,,,none,,,,,static: daily/weekly,nan/nan
ds_045,,,,,none,,,,,static: daily/weekly,nan/nan
ds_046,,,,,none,,,,,static: daily/weekly,nan/nan
ds_047,,,,,none,,,,,static: daily/weekly,nan/nan
ds_048,,,,,none,,,,,static: daily/weekly,nan/nan
ds_049,,,,,none,,,,,static: daily/weekly,nan/nan
ds_050,,,,,none,,,,,static: daily/weekly,nan/nan
ds_051,,,,,none,,,,,static: daily/weekly,nan/nan
ds_052,,,,,none,,,,,static: daily/weekly,nan/nan
ds_053,,,,,none,,,,,static: daily/weekly,nan/nan
ds_054,,,,,none,,,,,static: daily/weekly,nan/nan
ds_055,,,,,none,,,,,static: daily/weekly,nan/nan
ds_056,,,,,none,,,,,static: daily/weekly,nan/nan
ds_057,,,,,none,,,,,static: daily/weekly,nan/nan
ds_058,,,,,none,,,,,static: daily/weekly,nan/nan
ds_059,,,,,none,,,,,static: daily/weekly,nan/nan
ds_060,,,,,none,,,,,static: daily/weekly,nan/nan
ds_061,,,,,none,,,,,static: daily/weekly,nan/nan
ds_062,,,,,none,,,,,static: daily/weekly,nan/nan
ds_063,,,,,none,,,,,static: daily/weekly,nan/nan
ds_064,,,,,none,,,,,static: daily/weekly,nan/nan
ds_065,,,,,none,,,,,static: daily/weekly,nan/nan
ds_066,,,,,none,,,,,static: daily/weekly,nan/nan
ds_067,,,,,none,,,,,static: daily/weekly,nan/nan
ds_068,,,,,none,,,,,static: daily/weekly,nan/nan
ds_069,,,,,none,,,,,static: daily/weekly,nan/nan
ds_070,,,,,none,,,,,static: daily/weekly,nan/nan
ds_071,,,,,none,,,,,static: daily/weekly,nan/nan
ds_072,,,,,none,,,,,static: daily/weekly,nan/nan
ds_073,,,,,none,,,,,static: daily/weekly,nan/nan
